/documents/address-accepting-the-presidential-nomination-the-republican-national-convention-cleveland,"Address Accepting the Presidential Nomination at the Republican National Convention in Cleveland, Ohio",2016-07-21,{'Location': '\n    Ohio  '}
/documents/remarks-the-ki-convention-center-green-bay-wisconsin,"Remarks at the KI Convention Center in Green Bay, Wisconsin",2016-08-05,{'Location': '\n    Wisconsin  '}
/documents/remarks-the-detroit-economic-club-1,Remarks to the Detroit Economic Club,2016-08-08,{'Location': '\n    Michigan  '}
/documents/remarks-rally-the-university-north-carolina-wilmington,Remarks at a Rally at the University of North Carolina in Wilmington,2016-08-09,{'Location': '\n    North Carolina  '}
/documents/remarks-erie-insurance-arena-erie-pennsylvania,"Remarks at Erie Insurance Arena in Erie, Pennsylvania",2016-08-12,{'Location': '\n    Pennsylvania  '}
/documents/remarks-youngstown-state-university-youngstown-ohio,"Remarks at Youngstown State University in Youngstown, Ohio",2016-08-15,{'Location': '\n    Ohio  '}
/documents/remarks-the-washington-county-fair-park-west-bend-wisconsin,"Remarks at the Washington County Fair Park in West Bend, Wisconsin",2016-08-16,{'Location': '\n    Wisconsin  '}
/documents/remarks-the-charlotte-convention-center-charlotte-north-carolina,"Remarks at the Charlotte Convention Center in Charlotte, North Carolina",2016-08-18,{'Location': '\n    North Carolina  '}
/documents/remarks-the-summit-sports-and-ice-complex-dimondale-michigan,"Remarks at the Summit Sports and Ice Complex in Dimondale, Michigan",2016-08-19,{'Location': '\n    Michigan  '}
/documents/remarks-luedecke-arena-austin-texas,"Remarks at Luedecke Arena in Austin, Texas",2016-08-23,{'Location': '\n    Texas  '}
/documents/remarks-the-mississippi-coliseum-jackson-mississippi,"Remarks at the Mississippi Coliseum in Jackson, Mississippi",2016-08-24,{'Location': '\n    Mississippi  '}
/documents/remarks-the-xfinity-arena-everett-washington,"Remarks at the XFinity Arena in Everett, Washington",2016-08-30,{'Location': '\n    Washington  '}
/documents/remarks-immigration-the-phoenix-convention-center-phoenix-arizona,"Remarks on Immigration at the Phoenix Convention Center in Phoenix, Arizona",2016-08-31,{'Location': '\n    Arizona  '}
/documents/remarks-the-union-league-philadelphia-philadelphia-pennsylvania,"Remarks at the Union League of Philadelphia in Philadelphia, Pennsylvania",2016-09-07,{'Location': '\n    Pennsylvania  '}
/documents/remarks-the-us-cellular-center-asheville-north-carolina,"Remarks at the US Cellular Center in Asheville, North Carolina",2016-09-12,{'Location': '\n    North Carolina  '}
/documents/remarks-the-suburban-collection-showplace-novi-michigan,"Remarks at the Suburban Collection Showplace in Novi, Michigan",2016-09-30,{'Location': '\n    Michigan  '}
/documents/remarks-the-pueblo-convention-center-pueblo-colorado,"Remarks at the Pueblo Convention Center in Pueblo, Colorado",2016-10-03,{'Location': '\n    Colorado  '}
/documents/remarks-the-budweiser-events-center-loveland-colorado,"Remarks at the Budweiser Events Center in Loveland, Colorado",2016-10-03,{'Location': '\n    Colorado  '}
/documents/remarks-prescott-valley-event-center-prescott-valley-arizona,"Remarks at Prescott Valley Event Center in Prescott Valley, Arizona",2016-10-04,{'Location': '\n    Arizona  '}
/documents/remarks-henderson-pavilion-henderson-nevada,"Remarks at Henderson Pavilion in Henderson, Nevada",2016-10-05,{'Location': '\n    Nevada  '}
/documents/remarks-the-reno-sparks-convention-center-reno-nevada,"Remarks at the Reno-Sparks Convention Center in Reno, Nevada",2016-10-05,{'Location': '\n    Nevada  '}
/documents/excerpts-remarks-aaron-bessant-park-panama-city-florida,"Excerpts of Remarks at Aaron Bessant Park in Panama City, Florida",2016-10-11,{'Location': '\n    Florida  '}
/documents/remarks-the-southeastern-livestock-pavilion-ocala-florida,"Remarks at the Southeastern Livestock Pavilion in Ocala, Florida",2016-10-12,{'Location': '\n    Florida  '}
